,titleID,title,story_author,draw_author,intro,tags,interested_user_cnt,thumbnail
156,800618,도깨비 부른다,WEBANGSANG,WEBANGSANG,"국내 최대 마약상 <귀사회>
귀사회를 중심으로 다섯 명의 아이들이 모이게 된다.
그들은 각자 다른 목적을 위해 귀사회의 돈을 노리게 되지만,
결국 잔혹한 진실을 마주하며 세상을 구하려 한다.",['#판타지'],23463,https://shared-comic.pstatic.net/thumb/webtoon/800618/thumbnail/thumbnail_IMAG21_0e4be823-3c99-480c-923a-eaa554b46646.jpg
157,790245,어쩌다보니 천생연분,꿀타래,담초,"집에 얹혀산 지 몇 년 차더라..? 
올해 32살을 맞이한 한지아(일하지 않는 프리랜서/무직)는 주변의 결혼하라는 눈칫밥에 오늘도 고통받는데.. 
때마침 명절을 맞이하여 고향에 내려온 소꿉친구 민철 또한 같은 고민이 있었으니.
그러면 쉬운 해결 방법이 있잖아?!? 그렇게 홧김에 결혼한 두 사람.
그런데 막상 결혼해 보니... 어라?? 생각보다 너무 잘 맞는다?!","['#로맨스', '#로맨스코미디', '#2021 지상최대공모전', '#선결혼후연애']",536866,https://shared-comic.pstatic.net/thumb/webtoon/790245/thumbnail/thumbnail_IMAG21_3545003845982959922.jpg
158,801035,퍼니게임,배진수,배진수,"<머니게임>,<파이게임> 에서 실패를 맛본 주인공은, 마지막 <퍼니게임>에서
우승하기 위해 신체를 단련하고 정신을 다잡는다. 모든 참가자 중 본인만이
유일한 게임 경험자임을 확인한 주인공은, 승리를 위해 악마가 되기로 결심한다.",['#스릴러'],80692,https://shared-comic.pstatic.net/thumb/webtoon/801035/thumbnail/thumbnail_IMAG21_01fd148f-edb2-4ada-9571-910981ec3376.jpg
159,799478,서울시 천사주의,안민,안민,"평범한 듯 평범하지 않은 빛나는 어느날 악령의 기운을 가진 아저씨를 만난다.
악령과 엮여버리면서 먼치킨(?)이 되어 성사고 '천사반'에 입학하게 되는데…
악령의 힘을 쓰는 빛나가 천사반에서 무사히 살아남을 수 있을까?!
와글바글 판타지 성장드라마!","['#판타지', '#성장드라마', '#먼치킨']",20162,https://shared-comic.pstatic.net/thumb/webtoon/799478/thumbnail/thumbnail_IMAG21_e7fe0b67-9791-42b0-ab36-19bd2d7ea8a5.jpg
160,780191,선남친 후연애,해부기,정미,"복학생 선배의 끈질긴 구애로 고통받던 가은은 학교 내 뜬소문으로 오해받고 있던 재림과 합의하에 쇼윈도 커플이 되기로 한다.
진지한 연애는 절대 하지 않기로 했으나 재림은 예상보다 훨씬 달콤하게 다가오고, 가은은 가랑비 젖듯 재림에게 끌리고 마는데… 
쿨 찾다 핫하게 엮여버린 쇼윈도 커플의 간질간질 캠퍼스 로맨스!","['#로맨스', '#소설원작']",195393,https://shared-comic.pstatic.net/thumb/webtoon/780191/thumbnail/thumbnail_IMAG21_8868da32-6304-45c5-8613-6c3954891a14.jpg
161,789591,디나운스,윤예,윤예,"세계 최고의 운동화를 만들겠다는 강안의 꿈은 2년 전 그날 끝나버렸다.
더는 운동화를 만들지 않겠다고 다짐하고 살아가던 강안은
충격적인 진실을 마주하고 마는데... 
복수와 성장, 우정이 얽힌 청춘드라마!",['#드라마'],25846,https://shared-comic.pstatic.net/thumb/webtoon/789591/thumbnail/thumbnail_IMAG21_7005123160025948516.jpg
162,784518,"대공님, 실수였어요!
휴재",시세Sisse,조이뿅,"짝사랑하는 대공님을 실수로 납치해버렸다!
이 일을 수습해 줄 테니 계약 연애를 하자는 대공님의 제안을, 덜컥 받아들였는데…….
“비비안. 키스해도 됩니까?”
네? 우리 연애 시작하자마자 키스하는 건가요?
“키스하고, 그다음 진도도 나가고, 저랑 결혼하죠, 비비안.”
……큰일 났다. 아무래도 대공님이 제정신이 아닌 것 같은데……!
이 연애, 정말 괜찮은 걸까!","['#로맨스', '#계약연애', '#이세계']",138213,https://shared-comic.pstatic.net/thumb/webtoon/784518/thumbnail/thumbnail_IMAG21_b2349a45-d20d-4d21-84db-6006d2d8e976.jpg
163,800585,소름일기,석재윤,석재윤,"'내 눈'에는 보이지만 남들에게는 보이지 않는 '그것'들.
어릴 적부터 남들과는 조금 다른 체질로 인해 겪었던 남들에게 말 못할 여러 기이한 경험들을
오래된 일기장 넘기듯 풀어내는 실화기반 심령 공포썰.
<모태솔로 수용소>,<미드나잇체이서> 작가의 신작!","['#스릴러', '#오컬트', '#괴담']",42399,https://shared-comic.pstatic.net/thumb/webtoon/800585/thumbnail/thumbnail_IMAG21_11721c44-7e70-45e2-bd2e-da1e4a51922b.jpg
164,756140,라서드,감람,감람,"절대적 권능을 지닌 11인의 왕과, 왕을 수호하기 위한 기사단이 존재하는 세계.
수습기사 힌타는 파트너 캐넛과 함께 정식 기사가 되기 위한 모험을 떠나는데...
정식기사가 되기 위한 소년들의 고군분투 정통판타지액션!",['#판타지'],54416,https://shared-comic.pstatic.net/thumb/webtoon/756140/thumbnail/thumbnail_IMAG21_7c527b6e-773f-40c8-aa1a-5cbd9e7dc482.jpg
165,793887,물고기로 살아남기,동우,동우,"믿었던 동료의 배신으로 죽을 위기에 처한 '이유신'은 죽음의 순간, 
한줄기 빛을 보게 된다.

""새로운 삶을 다시 시작하시겠습니까?""

정신을 차리자 눈앞에 광활한 저수지가 펼쳐져 있었고 몸은 물고기로 변해 있었다.
물고기가 되어버린 그는 과연 모든 시련을 이겨내고 가족들의 품으로 돌아갈 수 있을까?","['#판타지', '#동물']",47642,https://shared-comic.pstatic.net/thumb/webtoon/793887/thumbnail/thumbnail_IMAG21_313436b8-ff98-4a9e-98dc-dc2e4839a65e.jpg
